TimeStamp1,DateId1,TimeStamp2,DateId2,ProjectName,Turbine,Fast_CurrentL3,Fast_ActivePower_kW,Fast_CurrentL1,Fast_ActivePowerSetpoint_kW,Fast_CurrentL2,Fast_DrTrVibValue,Fast_GenSpeed_RPM,Fast_PitchAccuV1,Fast_PitchAngle,Fast_PitchAngle3,Fast_PitchAngle2,Fast_PitchConvCurrent1,Fast_PitchConvCurrent3,Fast_PitchConvCurrent2,Fast_PowerFactor,Fast_ReactivePowerSetpointPPC_kVAr,Fast_ReactivePower_kVAr,Fast_RotorSpeed_RPM,Fast_VoltageL1,Fast_VoltageL2,Fast_WindSpeed_ms,Slow_CapableCapacitiveReactPwr_kVAr,Slow_CapableInductiveReactPwr_kVAr,Slow_DateTime_Sec,Slow_NacellePos,Fast_PitchAngle1,Fast_VoltageL3,Slow_CapableCapacitivePwrFactor,Fast_Total_Production_kWh,Fast_Total_Prod_Day_kWh,Fast_Total_Prod_Month_kWh,Fast_ActivePowerOutPWCSell_kW,Fast_Frequency_Hz,Slow_TempG1L2,Slow_TempG1L3,Slow_TempGearBoxHSSDE,Slow_TempGearBoxIMSNDE,Slow_TempOutdoor,Fast_PitchAccuV3,Slow_TotalTurbineActiveHours,Slow_TotalTurbineOKHours,Slow_TotalTurbineTimeAllHours,Slow_TempG1L1,Slow_TempGearBoxOilSump,Fast_PitchAccuV2,Slow_TotalGridOkHours,Slow_TotalActPowerOut_kWh,Fast_YawService,Fast_YawAngle,Slow_WindDirection,Slow_CapableInductivePwrFactor,Slow_TempGearBoxHSSNDE,Slow_TempHubBearing,Slow_TotalG1ActiveHours,Slow_TotalActPowerOutG1_kWh,Slow_TotalReactPowerInG1_kVArh,Slow_NacelleDrill,Slow_TempGearBoxIMSDE,Fast_Total_Operating_hrs,Slow_TempNacelle,Fast_Total_Grid_OK_hrs,Fast_Total_WTG_OK_hrs,Slow_TempCabinetTopBox,Slow_TempGeneratorBearingNDE,Fast_Total_Access_hrs,Slow_TempBottomPowerSection,Slow_TempGeneratorBearingDE,Slow_TotalReactPowerIn_kVArh,Slow_TempBottomControlSection,Slow_TempConv1,Fast_ActivePowerRated_kW,Fast_NodeIP,Fast_PitchSpeed1,Slow_CFCardSize,Slow_CPU_Number,Slow_CFCardSpaceLeft,Slow_TempBottomCapSection,Slow_RatedPower,Slow_TempConv3,Slow_TempConv2,Slow_TotalActPowerIn_kWh,Slow_TotalActPowerInG1_kWh,Slow_TotalActPowerInG2_kWh,Slow_TotalActPowerOutG2_kWh,Slow_TotalG2ActiveHours,Slow_TotalReactPowerInG2_kVArh,Slow_TotalReactPowerOut_kVArh,Slow_UTCoffset_int
2016-09-20 23:11:04,2016-09-20 00:00:00,2016-09-20 23:11:04,2016-09-20 00:00:00,Tejuva,SSE006,1064.5,1309.391,1139.5,1307.764,1092.5,-0.054932,1471.533,,-1.698578,-0.87,-0.87,24.75156,33.77043,11.88748,0.971032,,322.2117,15,716.565,696.0375,8.827467,427.7883,1072.212,1.474413041e+09,,,727.605,,4.131542e+06,18609,327966,1397.636,,,,,,,,,,,,,384.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-20 23:22:33,2016-09-20 00:00:00,2016-09-20 23:22:33,2016-09-20 00:00:00,Tejuva,SSE011,1721,2122.326,1827.5,2123.007,1772.5,0.150301,1530.547,,1.743911,2.2,2.2,2.862366,-7.348343,6.019547,0.973738,,496.2291,15.4,719.4975,698.97,9.893467,253.7709,1246.229,1.474413731e+09,,2.2,729.8475,,4.87617e+06,22502,377455,,50,,,,,,,,,,,,,,,,,,0.900013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-20 23:26:35,2016-09-20 00:00:00,2016-09-20 23:26:35,2016-09-20 00:00:00,Tejuva,SSE015,1231,1392.11,1321.5,1393.106,1266.5,0.018311,1481.32,,-1.82,,,-3.799561,-0.291489,4.476624,0.896579,348.9738,687.661,15.1,723.81,702.765,8.211067,62.33899,1437.661,1.474413972e+09,,,735.7125,,4.213144e+06,17970,346633,1693.385,50.04,,,,,,,,,,,,425.2,,4.213144e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-20 23:22:30,2016-09-20 00:00:00,2016-09-20 23:22:30,2016-09-20 00:00:00,Tejuva,SSE017,1234,1504.935,1325.5,1445.238,1259,-0.099947,1484.133,,-0.588356,0.06,0.06,-2.232986,0.024429,3.881882,0.942984,,531.1862,15.1,717.945,696.0375,9.158134,218.8138,1281.186,1.474413728e+09,,0.06,728.295,,4.720425e+06,18319,321181,,,,,,,,379.8,,,,,,,2.900134e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-20 23:01:47,2016-09-20 00:00:00,2016-09-20 23:01:47,2016-09-20 00:00:00,Tejuva,TJ021,1330.5,1724.552,1410.5,1556.353,1360,-0.096513,1492.213,,1.195244,1.48,1.48,-3.558243,0.468155,3.58226,0.979283,,356.5997,,714.84,694.14,10.47507,393.4003,1106.6,1.474412485e+09,,1.48,723.81,,4.963528e+06,15153,331212,,,,,,,,,,,3.417128e+07,,,381.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-20 23:18:45,2016-09-20 00:00:00,2016-09-20 23:18:45,2016-09-20 00:00:00,Tejuva,SSE015,,1816.206,1626,1791.473,,-0.019074,1496.547,,0.9684,0.78,0.78,0.021881,-5.139984,-0.319901,0.935794,,684.2321,15.2,716.22,693.9675,9.6648,65.76788,1434.232,1.474413502e+09,,0.78,726.57,,4.212919e+06,17745,346408,,50,,,,,,,,,,,,425.2,,,,,,,,,,,,,,,,,7729.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-20 23:43:07,2016-09-20 00:00:00,2016-09-20 23:43:07,2016-09-20 00:00:00,Tejuva,HBR004,1461,1693.066,1561.5,1650.754,1484,-0.056077,1494.733,382.3,1.990978,1.6,1.61,4.565186,-5.731781,-0.718674,0.913961,,751.7277,15.2,715.0125,691.725,10.48787,,,1.474414964e+09,,1.6,724.3275,,5.388905e+06,19917,368718,,50.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-20 23:21:46,2016-09-20 00:00:00,2016-09-20 23:21:46,2016-09-20 00:00:00,Tejuva,TJ022,,2016.743,1820.5,2072.636,1770.5,-0.066758,1514.893,384.4,1.992844,2.11,2.1,-3.124863,5.241608,-0.059067,0.937739,,747.0042,15.6,719.1525,698.4525,11.20027,2.99585,1497.004,1.474413684e+09,,2.11,730.1925,,5.155953e+06,16059,347711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-20 23:10:45,2016-09-20 00:00:00,2016-09-20 23:10:24,2016-09-20 00:00:00,Tejuva,HBR007,1697.5,2038.312,1789,2018.343,1766,0.040436,1517.307,,1.252089,1.46,1.46,-0.234985,5.580353,-0.337677,0.939674,,742.0103,,718.1175,696.21,10.4788,7.989685,1492.01,1.474413002e+09,,1.46,728.1225,,5.354199e+06,20187,390785,,49.96,,,,,,,,,,,,,,,,,,,,47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-20 23:26:04,2016-09-20 00:00:00,2016-09-20 23:26:04,2016-09-20 00:00:00,Tejuva,TJ025,1154.5,1259.168,1231.5,1251.251,1189,-0.020218,1469.8,382.4,-1.244978,-1.19,-1.19,-14.14529,-16.36546,-7.362106,0.86847,704.8068,718.7625,,701.9025,678.615,8.626,31.23755,1468.762,1.474413941e+09,,-1.19,711.045,,5.473217e+06,17153,351141,,,,,,,,,,,,103.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
